process_key,process_name,tenant_id,version,deployment_time,process_definition_id,task_type,task_id,task_name,bpmn_path
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,serviceTask,Consulta_Autorizacao_DataPrev,Consulta DataPrev - Solicita Autorização,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,serviceTask,Consulta_Saldo_DataPrev,Consulta DataPrev - Consulta Dados do Trabalhador,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,serviceTask,Consult_Consent_DataPrev,Consulta DataPrev - Envio Dados Consentimento,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,scriptTask,Activity_0zxh1fk,Preparar variaveis,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,scriptTask,Activity_0fg11nx,Preparar identification,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,scriptTask,Activity_04akl5a,Preparar decision,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,scriptTask,Activity_0ew5iwy,Preparar retorno,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,serviceTask,Activity_14ylu7y,Envia Retorno API,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,businessRuleTask,Activity_1qyqa4p,Avaliacao PF,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
Process_13a64b72-76b4-45f7-9b4d-1cca57ec18cb,Politica de Credito da GPS,,7,2025-09-23T14:20:07.064+0000,680b4ab6-9888-11f0-86c4-b28b4f3033d7,serviceTask,Activity_1d1t7nl,Dados CNPJ Lista Permissivel,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Politica de Credito da GPS\v007__deploy_2025-09-23_142007\versao_007__deploy_2025-09-23_142007.bpmn
