process_key,process_name,tenant_id,version,deployment_time,process_definition_id,task_type,task_id,task_name,bpmn_path
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,serviceTask,Consulta_Autorizacao_DataPrev,Consulta DataPrev - Solicita Autorização,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,serviceTask,Consulta_Saldo_DataPrev,Consulta DataPrev - Consulta Dados do Trabalhador,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,serviceTask,Consult_Consent_DataPrev,Consulta DataPrev - Envio Dados Consentimento,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,scriptTask,Activity_0zxh1fk,Preparar variaveis,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,scriptTask,Activity_0fg11nx,Preparar identification,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,scriptTask,Activity_04akl5a,Preparar decision,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,scriptTask,Activity_0ew5iwy,Preparar retorno,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,serviceTask,Activity_14ylu7y,Envia Retorno API,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,businessRuleTask,Activity_1qyqa4p,Avaliacao PF,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
Process_c9aeeafd-b684-4f2a-94c2-1c56b1975e72,Teste_Vale-celcoin,,30,2026-04-07T19:45:38.022+0000,59feea3b-32ba-11f1-a9c1-3a5227d8f32a,serviceTask,Activity_1d1t7nl,Dados CNPJ Lista Permissivel,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Teste_Vale-celcoin\v030__deploy_2026-04-07_194538\versao_030__deploy_2026-04-07_194538.bpmn
