process_key,process_name,tenant_id,version,deployment_time,process_definition_id,task_type,task_id,task_name,bpmn_path
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,scriptTask,Activity_0fg11nx,Preparar identification,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,scriptTask,Activity_04akl5a,Preparar decision,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,scriptTask,Activity_0ew5iwy,Preparar retorno,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,serviceTask,Activity_14ylu7y,Envia Retorno API,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,scriptTask,Activity_07xb35r,Preparar CreditTermsConditions,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,scriptTask,preparar_variaveis,Preparar variaveis,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,businessRuleTask,Activity_1y9t4ml,DMN Teste com cancel reasons natural person,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,1,2025-07-02T16:11:03.048+0000,26a9b0dc-575f-11f0-9214-5afd7ffbd380,businessRuleTask,Activity_1ma1sa7,DMN Teste com cancel reasons legal person,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v001__deploy_2025-07-02_161103\versao_001__deploy_2025-07-02_161103.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,2,2025-07-02T16:25:15.468+0000,22bde650-5761-11f0-9214-5afd7ffbd380,scriptTask,Activity_0fg11nx,Preparar identification,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v002__deploy_2025-07-02_162515\versao_002__deploy_2025-07-02_162515.bpmn
Process_c9bfacff-4e9c-4988-b450-ab26fb15d5f9,Ambipar,,2,2025-07-02T16:25:15.468+0000,22bde650-5761-11f0-9214-5afd7ffbd380,scriptTask,Activity_04akl5a,Preparar decision,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\bpm\Ambipar\v002__deploy_2025-07-02_162515\versao_002__deploy_2025-07-02_162515.bpmn
