kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decision,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTable,DecisionTable_190x0qg,,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableInput,InputClause_1i355sd,Available consignment margin,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,double,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableInput,InputClause_0owcu8q,Is eligible for loan,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableInput,InputClause_0mndt1f,Contract end date,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableInput,InputClause_0u57o32,Leave of absense,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableInput,InputClause_17oh7jy,Termination notice,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableInput,Input_1,PEP,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableInput,InputClause_03brxa7,Age,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,integer,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
dmn,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,1,2025-07-24T11:40:59.705+0000,1266b27b-6883-11f0-9894-5646dbaceb31,decisionTableOutput,Output_1,Status,Definitions_AvaliacaoPF_GPS,BYX Privado AvaliacaoPF - GPS,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado AvaliacaoPF - GPS\v001__deploy_2025-07-24_114059\versao_001__deploy_2025-07-24_114059.dmn
