kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decision,Decision_Taxa,BYX Privado Define Taxa,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTable,DecisionTable_0vau4bc,,Decision_Taxa,BYX Privado Define Taxa,,,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableInput,Input_1,Total overdue amount,Decision_Taxa,BYX Privado Define Taxa,,double,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableInput,InputClause_06m62hb,Percent of committ income,Decision_Taxa,BYX Privado Define Taxa,,double,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableInput,InputClause_182q72a,Score,Decision_Taxa,BYX Privado Define Taxa,,double,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableOutput,OutputClause_1xk05tx,Status,Decision_Taxa,BYX Privado Define Taxa,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableOutput,Output_1,Tax,Decision_Taxa,BYX Privado Define Taxa,,double,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableOutput,OutputClause_0aat76p,Min total number of installments,Decision_Taxa,BYX Privado Define Taxa,,integer,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableOutput,OutputClause_0npijx7,Max total number of installments,Decision_Taxa,BYX Privado Define Taxa,,integer,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
dmn,Decision_Taxa,BYX Privado Define Taxa,,3,2025-06-06T19:56:48.442+0000,Decision_Taxa:3:619be616-4310-11f0-8f43-d2a83d48d3cb,decisionTableOutput,OutputClause_16o5w97,Max disbursement percent,Decision_Taxa,BYX Privado Define Taxa,,double,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\BYX Privado Define Taxa\v003__deploy_2025-06-06_195648\versao_003__deploy_2025-06-06_195648.dmn
