kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decision,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTable,DecisionTable_0vau4bc,,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableInput,InputClause_182q72a,Score,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableInput,InputClause_1qkxkzc,Employment duration in mos,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_1xk05tx,Status,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,string,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_0706rhk,Reason,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,string,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,Output_1,Interest Rate,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_0aat76p,Min total number of installments,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_0npijx7,Max total number of installments,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_16o5w97,Max amout percent,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
