kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decision,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTable,DecisionTable_0v9gbur,,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableInput,Input_1,Profile,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,string,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableInput,InputClause_0tysmxc,Score,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,double,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableInput,InputClause_00p4vbo,Employment duration in months,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,integer,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,Output_1,Status,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,string,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0bs8nvi,Reason,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,string,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_1unep1b,Interest rate,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,double,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0krx7bu,Min total number of installments,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,integer,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_07k6o9t,Max total number of installments,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,integer,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0xmjj43,Min disbursement amount,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,double,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0x6tytb,Max disbursement amount,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,double,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_1rnuxrf,Max amount percent,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,double,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
dmn,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,1,2025-07-14T12:25:31.005+0000,a1e58e62-60ad-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_1kc7dvi,Min installment amount,Definitions_CreditConditions_Ambipar,Definição Condições de Crédito Ambipar,,double,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Definição Condições de Crédito Ambipar\v001__deploy_2025-07-14_122531\versao_001__deploy_2025-07-14_122531.dmn
