kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decision,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTable,DecisionTable_0vau4bc,,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableInput,InputClause_182q72a,Score,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_1xk05tx,Status,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,string,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0706rhk,Reason,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,string,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,Output_1,Interest Rate,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0aat76p,Min total number of installments,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0npijx7,Max total number of installments,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_14s8a5a,Min disbursement amount,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_1yabo5m,Max disbursement amount,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
dmn,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,1,2025-07-13T21:48:56.053+0000,2cdbdb5c-6033-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_16o5w97,Max amout percent,Decision_Taxa_Happy_FLAVIA,FLAVIA Privado Define Taxa - Happy,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\FLAVIA Privado Define Taxa - Happy\v001__deploy_2025-07-13_214856\versao_001__deploy_2025-07-13_214856.dmn
