kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decision,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTable,DecisionTable_0uxoljn,,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_0vwfovp,Allowed CNPJ,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,Input_1,Is eligible for Loan,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_0otwskt,Contract end date,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_060wso3,Leave of absense,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_0y9mmb8,Termination notice,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_1mixt6s,Is PEP,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_0qg9oox,Gender,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_0ek90p5,Age,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,integer,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableInput,InputClause_0qc9h72,Employment duration in mos,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,integer,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
dmn,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,2,2025-04-25T17:34:52.109+0000,982bca85-21fb-11f0-bf41-0e30a9376da7,decisionTableOutput,Output_1,Status,TESTES_AUTOMATICOS_DMN1.1.1,Pine_DMN_1.1.1,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_1.1.1__key_TESTES_AUTOMATICOS_DMN1.1.1\v002__deploy_2025-04-25_173452\versao_002__deploy_2025-04-25_173452.dmn
