kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decision,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTable,DecisionTable_0uxoljn,,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,Input_1,Is eligible for Loan,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,InputClause_0otwskt,Contract end date,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,InputClause_060wso3,Leave of absense,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,InputClause_0y9mmb8,Termination notice,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,InputClause_1mixt6s,Is PEP,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,boolean,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,InputClause_04ekry3,Family CBO Code,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,InputClause_0qg9oox,Gender,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
dmn,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,1,2025-05-09T12:49:45.155+0000,Pine_DMN_Avaliacao_CPF:1:15645097-2cd4-11f0-a0f7-0e3fcb7eb86d,decisionTableInput,InputClause_0ek90p5,Age,Pine_DMN_Avaliacao_CPF,Pine_DMN_Avaliacao_CPF,,integer,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Pine_DMN_Avaliacao_CPF\v001__deploy_2025-05-09_124945\versao_001__deploy_2025-05-09_124945.dmn
