kind,definition_key,definition_name,tenant_id,version,deployment_time,definition_id,detail_type,detail_id,detail_name,parent_id,parent_name,expression,type_ref,hit_policy,xml_path
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,1,2025-07-02T16:11:33.338+0000,38b7bb32-575f-11f0-9214-5afd7ffbd380,decision,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\versao_001__deploy_2025-07-02_161133.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,1,2025-07-02T16:11:33.338+0000,38b7bb32-575f-11f0-9214-5afd7ffbd380,decisionTable,DecisionTable_190x0qg,,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\versao_001__deploy_2025-07-02_161133.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,1,2025-07-02T16:11:33.338+0000,38b7bb32-575f-11f0-9214-5afd7ffbd380,decisionTableInput,InputClause_1i355sd,Document Number,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\versao_001__deploy_2025-07-02_161133.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,1,2025-07-02T16:11:33.338+0000,38b7bb32-575f-11f0-9214-5afd7ffbd380,decisionTableOutput,Output_1,Status,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\versao_001__deploy_2025-07-02_161133.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,1,2025-07-02T16:11:33.338+0000,38b7bb32-575f-11f0-9214-5afd7ffbd380,decisionTableOutput,OutputClause_0379uj3,Reason,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\versao_001__deploy_2025-07-02_161133.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,1,2025-07-02T16:11:33.338+0000,38b7bb32-575f-11f0-9214-5afd7ffbd380,decisionTableOutput,OutputClause_1dolf3n,Enum,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\versao_001__deploy_2025-07-02_161133.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,2,2025-07-08T19:47:34.648+0000,64bf2a9d-5c34-11f0-b05e-fe3e571a18f5,decision,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\versao_002__deploy_2025-07-08_194734.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,2,2025-07-08T19:47:34.648+0000,64bf2a9d-5c34-11f0-b05e-fe3e571a18f5,decisionTable,DecisionTable_190x0qg,,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\versao_002__deploy_2025-07-08_194734.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,2,2025-07-08T19:47:34.648+0000,64bf2a9d-5c34-11f0-b05e-fe3e571a18f5,decisionTableInput,InputClause_1i355sd,Document Number,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\versao_002__deploy_2025-07-08_194734.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,2,2025-07-08T19:47:34.648+0000,64bf2a9d-5c34-11f0-b05e-fe3e571a18f5,decisionTableOutput,Output_1,Status,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\versao_002__deploy_2025-07-08_194734.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,2,2025-07-08T19:47:34.648+0000,64bf2a9d-5c34-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_0379uj3,Reason,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\versao_002__deploy_2025-07-08_194734.dmn
dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,2,2025-07-08T19:47:34.648+0000,64bf2a9d-5c34-11f0-b05e-fe3e571a18f5,decisionTableOutput,OutputClause_1dolf3n,Enum,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\versao_002__deploy_2025-07-08_194734.dmn
dmn,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,1,2025-07-02T16:11:18.305+0000,2fc22ebb-575f-11f0-9214-5afd7ffbd380,decision,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\versao_001__deploy_2025-07-02_161118.dmn
dmn,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,1,2025-07-02T16:11:18.305+0000,2fc22ebb-575f-11f0-9214-5afd7ffbd380,decisionTable,DecisionTable_190x0qg,,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\versao_001__deploy_2025-07-02_161118.dmn
dmn,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,1,2025-07-02T16:11:18.305+0000,2fc22ebb-575f-11f0-9214-5afd7ffbd380,decisionTableInput,InputClause_1i355sd,Document Number,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\versao_001__deploy_2025-07-02_161118.dmn
dmn,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,1,2025-07-02T16:11:18.305+0000,2fc22ebb-575f-11f0-9214-5afd7ffbd380,decisionTableOutput,Output_1,Status,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\versao_001__deploy_2025-07-02_161118.dmn
dmn,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,1,2025-07-02T16:11:18.305+0000,2fc22ebb-575f-11f0-9214-5afd7ffbd380,decisionTableOutput,OutputClause_0379uj3,Reason,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\versao_001__deploy_2025-07-02_161118.dmn
dmn,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,1,2025-07-02T16:11:18.305+0000,2fc22ebb-575f-11f0-9214-5afd7ffbd380,decisionTableOutput,OutputClause_1dolf3n,Enum,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,string,FIRST,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\versao_001__deploy_2025-07-02_161118.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decision,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,,,,,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTable,DecisionTable_0vau4bc,,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableInput,InputClause_182q72a,Score,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableInput,InputClause_1qkxkzc,Employment duration in mos,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_1xk05tx,Status,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,string,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_0706rhk,Reason,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,string,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,Output_1,Interest Rate,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,double,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_0aat76p,Min total number of installments,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
dmn,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,1,2025-08-27T20:14:36.407+0000,740ab02b-8382-11f0-b2fd-5a11b66d5910,decisionTableOutput,OutputClause_0npijx7,Max total number of installments,Blep_Credit_Conditions_Decision,Blep_Credit_Conditions_Decision,,integer,COLLECT,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\Blep_Credit_Conditions_Decision\v001__deploy_2025-08-27_201436\versao_001__deploy_2025-08-27_201436.dmn
