status,kind,definition_key,definition_name,tenant_id,version,version_tag,deployment_id,deployment_time,definition_id,resource,xml_path,detail_path,reason
SKIPPED_EXCLUSION,dmn,ambipar-client-profile,ambipar-client-profile,,1,,3d1a2dab-8449-11f0-b0a7-4e1deb05b8c7,,ambipar-client-profile:1:3d1c026e-8449-11f0-b0a7-4e1deb05b8c7,ambipar-client-profile.dmn,,,Nome/key/resource encontrado no arquivo de exclusao
SKIPPED_EXCLUSION,dmn,ambipar-client-profile,ambipar-client-profile,,2,,c500ffc0-93c6-11f0-903c-52432e834fe4,,ambipar-client-profile:2:c5040d03-93c6-11f0-903c-52432e834fe4,ambipar-client-profile.dmn,,,Nome/key/resource encontrado no arquivo de exclusao
SKIPPED_EXCLUSION,dmn,ambipar-credit-conditions-decision,ambipar-credit-conditions-decision,,1,,412be4a6-8449-11f0-b0a7-4e1deb05b8c7,,4133acd9-8449-11f0-b0a7-4e1deb05b8c7,ambipar-credit-conditions-decision.dmn,,,Nome/key/resource encontrado no arquivo de exclusao
SKIPPED_EXCLUSION,dmn,ambipar-credit-conditions-decision,ambipar-credit-conditions-decision,,2,,891aa0ab-92fd-11f0-903c-52432e834fe4,,891d86de-92fd-11f0-903c-52432e834fe4,ambipar-credit-conditions-decision.dmn,,,Nome/key/resource encontrado no arquivo de exclusao
SKIPPED_EXCLUSION,dmn,ambipar-credit-conditions-decision,ambipar-credit-conditions-decision,,3,,3eab45fd-933f-11f0-903c-52432e834fe4,,3eaea160-933f-11f0-903c-52432e834fe4,ambipar-credit-conditions-decision.dmn,,,Nome/key/resource encontrado no arquivo de exclusao
SKIPPED_EXCLUSION,dmn,ambipar-credit-conditions-decision,ambipar-credit-conditions-decision,,4,,6557a2c4-933f-11f0-903c-52432e834fe4,,655be887-933f-11f0-903c-52432e834fe4,ambipar-credit-conditions-decision.dmn,,,Nome/key/resource encontrado no arquivo de exclusao
SKIPPED_EXCLUSION,dmn,ambipar-credit-conditions-decision,ambipar-credit-conditions-decision,,5,,08f3417f-93c7-11f0-903c-52432e834fe4,,08f627b2-93c7-11f0-903c-52432e834fe4,ambipar-credit-conditions-decision.dmn,,,Nome/key/resource encontrado no arquivo de exclusao
SAVED,dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,1,,38b54a2f-575f-11f0-9214-5afd7ffbd380,2025-07-02T16:11:33.338+0000,38b7bb32-575f-11f0-9214-5afd7ffbd380,ambipar-dmn-teste-cancel-reasons-legal-person.dmn,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\versao_001__deploy_2025-07-02_161133.dmn,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v001__deploy_2025-07-02_161133\elementos_dmn.csv,
SAVED,dmn,ambipar-dmn-teste-cancel-reason-legal-person,ambipar-dmn-teste-cancel-reason-legal-person,,2,,64bb0bea-5c34-11f0-b05e-fe3e571a18f5,2025-07-08T19:47:34.648+0000,64bf2a9d-5c34-11f0-b05e-fe3e571a18f5,ambipar-dmn-teste-cancel-reasons-legal-person.dmn,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\versao_002__deploy_2025-07-08_194734.dmn,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-legal-person\v002__deploy_2025-07-08_194734\elementos_dmn.csv,
SAVED,dmn,ambipar-dmn-teste-cancel-reason-natural-person,ambipar-dmn-teste-cancel-reason-natural-person,,1,,2fbf6f98-575f-11f0-9214-5afd7ffbd380,2025-07-02T16:11:18.305+0000,2fc22ebb-575f-11f0-9214-5afd7ffbd380,ambipar-dmn-teste-cancel-reasons-natural-person.dmn,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\versao_001__deploy_2025-07-02_161118.dmn,C:\Users\ViniciusAlvesdeSanta\OneDrive - BYX CAPITAL S A\Documentos\Camunda\Politicas Legado\dmn\ambipar-dmn-teste-cancel-reason-natural-person\v001__deploy_2025-07-02_161118\elementos_dmn.csv,
